YEAR,MO,DY,T2M
2024,10,3,13.77
2024,10,4,11.8
2024,10,5,13.36
2024,10,6,14.96
2024,10,7,17.8
2024,10,8,15.26
2024,10,9,13.79
2024,10,10,12.52
2024,10,11,14.3
2024,10,12,15.86
2024,10,13,17.08
2024,10,14,15.19
2024,10,15,13.61
2024,10,16,11.24
2024,10,17,8.98
2024,10,18,9.23
2024,10,19,13.6
2024,10,20,14.4
2024,10,21,9.67
2024,10,22,8.78
2024,10,23,6.69
2024,10,24,7.82
2024,10,25,11.05
2024,10,26,14.69
2024,10,27,10.69
2024,10,28,8.41
2024,10,29,7.19
2024,10,30,6.83
2024,10,31,7.24
2024,11,1,9.48
2024,11,2,7.83
2024,11,3,7.78
2024,11,4,7.55
2024,11,5,6.64
2024,11,6,6.42
2024,11,7,7.55
2024,11,8,8.5
2024,11,9,9.25
2024,11,10,8.75
2024,11,11,8.95
2024,11,12,8.19
2024,11,13,9.06
2024,11,14,7.55
2024,11,15,4.21
2024,11,16,4.26
2024,11,17,6.66
2024,11,18,3.15
2024,11,19,3.69
2024,11,20,6.12
2024,11,21,6.4
2024,11,22,8.39
2024,11,23,5.24
2024,11,24,5.26
2024,11,25,5.36
2024,11,26,4.93
2024,11,27,3.83
2024,11,28,0.54
2024,11,29,0.76
2024,11,30,-999.0
2024,12,1,-999.0
